"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","batch_size","class_weight","clf__C","clf__activation","clf__alpha","clf__batch_size","clf__class_weight","clf__colsample_bytree","clf__criterion","clf__hidden_layer_sizes","clf__learning_rate","clf__learning_rate_init","clf__max_depth","clf__max_features","clf__max_iter","clf__min_samples_leaf","clf__min_samples_split","clf__n_estimators","clf__penalty","clf__reg_alpha","clf__reg_lambda","clf__solver","clf__subsample","cv","dataset","dropout","epochs","hidden_layers","l2","lr","model","search_n_iter","val_accuracy","val_auc","val_f1","val_precision","val_recall"
"2025-08-13 00:17:21","12.1s","5c59bad245764d43b54d3bd66249670b","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(64,)","1e-05","0.001","mlp","","0.8379746835443038","0.8926211453744494","0.8212290502793296","0.7736842105263158","0.875"
"2025-08-13 01:16:39","13.7s","345272cb97104615a86b155fe923412c","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128, 64)","1e-05","0.001","mlp","","0.8405063291139241","0.8920442626389762","0.8130563798219584","0.8106508875739645","0.8154761904761905"
"2025-08-13 00:50:55","23.8s","596accff6de04d0396ad1055630f8489","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.2","40","(128,)","0.001","0.001","mlp","","0.8405063291139241","0.889369624501783","0.8130563798219584","0.8106508875739645","0.8154761904761905"
"2025-08-12 20:29:39","33.7s","7bd415c0b41141fd9cf0fbe881c2493b","under__rf","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","","","","","","","balanced_subsample","","","","","","12","log2","","2","2","100","","","","","","3","under","","","","","","rf","25","0.8278481012658228","0.9004090623033354","0.8089887640449439","0.7659574468085106","0.8571428571428571"
"2025-08-11 21:22:36","35.3s","b05e54eb46714852aea3c8dca9029077","under__rf","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","","","","","","","balanced_subsample","","","","","","12","log2","","2","2","100","","","","","","3","under","","","","","","rf","25","0.8278481012658228","0.9004090623033354","0.8089887640449439","0.7659574468085106","0.8571428571428571"
"2025-08-13 00:53:30","12.0s","2071e28cd52742c38c00fc07440d6998","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","40","(128,)","1e-05","0.001","mlp","","0.8253164556962025","0.8875340885252779","0.8088642659279778","0.7564766839378239","0.8690476190476191"
"2025-08-13 00:19:43","12.1s","92c68cbd2874466ba59e5851647d73a3","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","40","(64,)","0.0001","0.001","mlp","","0.8329113924050633","0.8860656597440738","0.8058823529411765","0.7965116279069767","0.8154761904761905"
"2025-08-13 00:17:33","11.9s","df5c606640e14fe09abd8deb0f70dab4","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.0","80","(64,)","1e-05","0.001","mlp","","0.8202531645569621","0.88931718061674","0.8054794520547947","0.7461928934010152","0.875"
"2025-08-13 01:43:55","15.7s","7745fbe572654a0d9abb1eb3aec5682b","mlp__under","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","64","False","","","","","","","","","","","","","","","","","","","","","","","under","0.4","80","(128, 64, 32)","1e-05","0.0005","mlp","","0.8329113924050633","0.8897629536396056","0.8047337278106509","0.8","0.8095238095238095"
"2025-08-12 20:30:12","11.4s","a15d0102fc1042b3857ede82117fec81","under__xgb","LOCAL","c:\Users\jorge\anaconda3\Lib\site-packages\ipykernel_launcher.py","jorge","FINISHED","","","","","","","","0.85","","","0.01","","6","","","","","200","","0.1","2.0","","0.7","3","under","","","","","","xgb","25","0.8227848101265823","0.9044472414516468","0.8044692737430167","0.7578947368421053","0.8571428571428571"
